Venta: 99, fecha: 2024-06-18

Prod: insert into productos_ventas 
        values ('3490', '99', '1.00', '42.00', '24.0000', '5') - trueProd: insert into productos_ventas 
        values ('3491', '99', '1.00', '42.00', '24.0000', '5') - trueProd: insert into productos_ventas 
        values ('3492', '99', '1.00', '42.00', '24.0000', '5') - trueProd: insert into productos_ventas 
        values ('3493', '99', '1.00', '42.00', '24.0000', '5') - trueProd: insert into productos_ventas 
        values ('3494', '99', '1.00', '42.00', '24.0000', '5') - trueProd: insert into productos_ventas 
        values ('3495', '99', '1.00', '42.00', '24.0000', '5') - trueProd: insert into productos_ventas 
        values ('3496', '99', '1.00', '42.00', '24.0000', '5') - trueProd: insert into productos_ventas 
        values ('3497', '99', '1.00', '42.00', '24.0000', '5') - trueProd: insert into productos_ventas 
        values ('3498', '99', '1.00', '42.00', '26.0000', '5') - trueProd: insert into productos_ventas 
        values ('3499', '99', '1.00', '42.00', '26.0000', '5') - trueProd: insert into productos_ventas 
        values ('3500', '99', '1.00', '42.00', '26.0000', '5') - trueProd: insert into productos_ventas 
        values ('3501', '99', '1.00', '42.00', '26.0000', '5') - true
